2022-07-05 20:02:24 INFO  ProyectoU2LoApplication:110 - La persona es: Persona [id=1, nombre=Pepito, apellido=Perez, genero=M, cedula=null]
2022-07-05 20:02:24 INFO  ProyectoU2LoApplication:110 - La persona es: Persona [id=2, nombre=Pepito, apellido=Perez, genero=M, cedula=1788451206]
2022-07-05 20:02:24 INFO  ProyectoU2LoApplication:110 - La persona es: Persona [id=3, nombre=Juanito, apellido=Perez, genero=M, cedula=1658455820]
2022-07-08 18:41:42 INFO  ProyectoU2LoApplication:105 - Person encontrada: Persona [id=2, nombre=Pepito, apellido=Perez, genero=M, cedula=1788451206]
2022-07-08 18:41:43 INFO  ProyectoU2LoApplication:108 - La persona es: Persona [id=1, nombre=Pepito, apellido=Perez, genero=M, cedula=null]
2022-07-08 18:41:43 INFO  ProyectoU2LoApplication:108 - La persona es: Persona [id=2, nombre=Pepito, apellido=Perez, genero=M, cedula=1788451206]
2022-07-08 18:41:43 INFO  ProyectoU2LoApplication:108 - La persona es: Persona [id=3, nombre=Juanito, apellido=Perez, genero=M, cedula=1658455820]
2022-07-08 18:41:43 INFO  ProyectoU2LoApplication:113 - La persona es: Persona [id=1, nombre=Pepito, apellido=Perez, genero=M, cedula=null]
2022-07-08 18:41:43 INFO  ProyectoU2LoApplication:113 - La persona es: Persona [id=2, nombre=Pepito, apellido=Perez, genero=M, cedula=1788451206]
2022-07-08 18:41:43 INFO  ProyectoU2LoApplication:113 - La persona es: Persona [id=3, nombre=Juanito, apellido=Perez, genero=M, cedula=1658455820]
2022-07-08 18:41:43 INFO  ProyectoU2LoApplication:118 - La persona es: Persona [id=1, nombre=Pepito, apellido=Perez, genero=M, cedula=null]
2022-07-08 18:41:43 INFO  ProyectoU2LoApplication:118 - La persona es: Persona [id=2, nombre=Pepito, apellido=Perez, genero=M, cedula=1788451206]
2022-07-08 19:22:02 INFO  ProyectoU2LoApplication:153 - Cantidad de registros actualizados: 3
2022-07-08 19:39:36 INFO  ProyectoU2LoApplication:156 - Cantidad de registros actualizados: 5
2022-07-08 19:40:37 INFO  ProyectoU2LoApplication:156 - Cantidad de registros actualizados: 3
2022-07-08 19:44:56 INFO  ProyectoU2LoApplication:153 - Cantidad de registros actualizados: 2
2022-07-08 19:44:56 INFO  ProyectoU2LoApplication:156 - Cantidad de registros actualizados: 2
2022-07-11 19:13:42 INFO  ProyectoU2LoApplication:195 - Person encontrada: Persona [id=13, nombre=Gabriela, apellido=Carrion, genero=F, cedula=1704115102]
2022-07-11 19:13:42 INFO  ProyectoU2LoApplication:196 - Person encontrada: Persona [id=13, nombre=Gabriela, apellido=Carrion, genero=F, cedula=1704115102]
2022-07-11 19:13:42 INFO  ProyectoU2LoApplication:197 - Person encontrada: Persona [id=13, nombre=Gabriela, apellido=Carrion, genero=F, cedula=1704115102]
2022-07-11 19:15:59 INFO  ProyectoU2LoApplication:193 - Cantidad de registros actualizados: 4
2022-07-11 19:16:36 INFO  ProyectoU2LoApplication:193 - Cantidad de registros actualizados: 2
2022-07-11 19:18:43 INFO  ProyectoU2LoApplication:195 - Person encontrada: Persona [id=19, nombre=Camila, apellido=Martinez, genero=F, cedula=1765162562]
2022-07-11 19:18:43 INFO  ProyectoU2LoApplication:196 - Person encontrada: Persona [id=17, nombre=Gabriela, apellido=Carrion, genero=F, cedula=1704115102]
2022-07-11 19:18:43 INFO  ProyectoU2LoApplication:197 - Person encontrada: Persona [id=18, nombre=Aiken, apellido=Salamanca, genero=F, cedula=1798541541]
2022-07-11 19:23:20 INFO  ProyectoU2LoApplication:195 - Person Typed encontrada: Persona [id=19, nombre=Camila, apellido=Martinez, genero=F, cedula=1765162562]
2022-07-11 19:23:20 INFO  ProyectoU2LoApplication:196 - Person Named encontrada: Persona [id=17, nombre=Gabriela, apellido=Carrion, genero=F, cedula=1704115102]
2022-07-11 19:23:20 INFO  ProyectoU2LoApplication:197 - Person Typed Named encontrada: Persona [id=18, nombre=Aiken, apellido=Salamanca, genero=F, cedula=1798541541]
2022-07-11 19:30:14 INFO  ProyectoU2LoApplication:196 - Person Typed encontrada: Persona [id=19, nombre=Camila, apellido=Martinez, genero=F, cedula=1765162562]
2022-07-11 19:30:14 INFO  ProyectoU2LoApplication:197 - Person Named encontrada: Persona [id=17, nombre=Gabriela, apellido=Carrion, genero=F, cedula=1704115102]
2022-07-11 19:30:14 INFO  ProyectoU2LoApplication:198 - Person Typed Named encontrada: Persona [id=18, nombre=Aiken, apellido=Salamanca, genero=F, cedula=1798541541]
2022-07-11 19:48:51 INFO  ProyectoU2LoApplication:191 - Person Typed encontrada: Persona [id=19, nombre=Camila, apellido=Martinez, genero=F, cedula=1765162562]
2022-07-11 19:48:51 INFO  ProyectoU2LoApplication:192 - Person Named encontrada: Persona [id=17, nombre=Gabriela, apellido=Carrion, genero=F, cedula=1704115102]
2022-07-11 19:48:51 INFO  ProyectoU2LoApplication:193 - Person Typed Named encontrada: Persona [id=18, nombre=Aiken, apellido=Salamanca, genero=F, cedula=1798541541]
2022-07-11 19:48:51 INFO  ProyectoU2LoApplication:199 - La persona es: Persona [id=18, nombre=Aiken, apellido=Salamanca, genero=F, cedula=1798541541]
2022-07-11 19:50:45 INFO  ProyectoU2LoApplication:192 - Person Typed encontrada: Persona [id=19, nombre=Camila, apellido=Martinez, genero=F, cedula=1765162562]
2022-07-11 19:50:45 INFO  ProyectoU2LoApplication:194 - Person Named encontrada: Persona [id=17, nombre=Gabriela, apellido=Carrion, genero=F, cedula=1704115102]
2022-07-11 19:50:45 INFO  ProyectoU2LoApplication:196 - Person Typed Named encontrada: Persona [id=18, nombre=Aiken, apellido=Salamanca, genero=F, cedula=1798541541]
2022-07-11 19:50:45 INFO  ProyectoU2LoApplication:202 - La persona es: Persona [id=18, nombre=Aiken, apellido=Salamanca, genero=F, cedula=1798541541]
2022-07-11 19:50:45 INFO  ProyectoU2LoApplication:202 - La persona es: Persona [id=21, nombre=Aiken, apellido=Salamanca, genero=F, cedula=1796332654]
2022-07-11 19:54:05 INFO  ProyectoU2LoApplication:192 - Person Typed encontrada: Persona [id=19, nombre=Camila, apellido=Martinez, genero=F, cedula=1765162562]
2022-07-11 19:54:05 INFO  ProyectoU2LoApplication:194 - Person Named encontrada: Persona [id=17, nombre=Gabriela, apellido=Carrion, genero=F, cedula=1704115102]
2022-07-11 19:54:05 INFO  ProyectoU2LoApplication:196 - Person Typed Named encontrada: Persona [id=18, nombre=Aiken, apellido=Salamanca, genero=F, cedula=1798541541]
2022-07-11 19:54:05 INFO  ProyectoU2LoApplication:202 - La persona es: Persona [id=18, nombre=Aiken, apellido=Salamanca, genero=F, cedula=1798541541]
2022-07-11 19:54:05 INFO  ProyectoU2LoApplication:202 - La persona es: Persona [id=21, nombre=Aiken, apellido=Salamanca, genero=F, cedula=1796332654]
2022-07-11 20:00:31 INFO  ProyectoU2LoApplication:192 - Person Typed encontrada: Persona [id=19, nombre=Camila, apellido=Martinez, genero=F, cedula=1765162562]
2022-07-11 20:00:31 INFO  ProyectoU2LoApplication:194 - Person Named encontrada: Persona [id=17, nombre=Gabriela, apellido=Carrion, genero=F, cedula=1704115102]
2022-07-11 20:00:31 INFO  ProyectoU2LoApplication:196 - Person Typed Named encontrada: Persona [id=18, nombre=Aiken, apellido=Salamanca, genero=F, cedula=1798541541]
2022-07-11 20:00:31 INFO  ProyectoU2LoApplication:202 - La persona es: Persona [id=18, nombre=Aiken, apellido=Salamanca, genero=F, cedula=1798541541]
2022-07-11 20:00:31 INFO  ProyectoU2LoApplication:202 - La persona es: Persona [id=21, nombre=Aiken, apellido=Salamanca, genero=F, cedula=1796332654]
2022-07-11 22:41:08 INFO  ProyectoU2LoApplication:207 - Typed: Estudiante [id=2, nombre=Naomi, apellido=Marcillo, edad=23, carrera=Administracion]
2022-07-11 22:41:41 INFO  ProyectoU2LoApplication:207 - Typed: Estudiante [id=2, nombre=Naomi, apellido=Marcillo, edad=23, carrera=Administracion]
2022-07-11 22:41:41 INFO  ProyectoU2LoApplication:208 - Typed: Estudiante [id=2, nombre=Naomi, apellido=Marcillo, edad=23, carrera=Administracion]
2022-07-11 22:41:41 INFO  ProyectoU2LoApplication:209 - Typed: Estudiante [id=2, nombre=Naomi, apellido=Marcillo, edad=23, carrera=Administracion]
2022-07-11 22:43:24 INFO  ProyectoU2LoApplication:207 - Typed: Estudiante [id=2, nombre=Naomi, apellido=Marcillo, edad=23, carrera=Administracion]
2022-07-11 22:43:24 INFO  ProyectoU2LoApplication:208 - Named: Estudiante [id=2, nombre=Naomi, apellido=Marcillo, edad=23, carrera=Administracion]
2022-07-11 22:43:24 INFO  ProyectoU2LoApplication:209 - TypedNamed: Estudiante [id=2, nombre=Naomi, apellido=Marcillo, edad=23, carrera=Administracion]
2022-07-11 22:43:24 INFO  ProyectoU2LoApplication:212 - Estudiante: Estudiante [id=1, nombre=Karen, apellido=Zaldumbide, edad=23, carrera=Medicina]
2022-07-11 22:43:24 INFO  ProyectoU2LoApplication:212 - Estudiante: Estudiante [id=3, nombre=Ariel, apellido=Zaldumbide, edad=23, carrera=Medicina]
2022-07-11 22:44:07 INFO  ProyectoU2LoApplication:207 - Typed: Estudiante [id=2, nombre=Naomi, apellido=Marcillo, edad=23, carrera=Administracion]
2022-07-11 22:44:07 INFO  ProyectoU2LoApplication:208 - Named: Estudiante [id=2, nombre=Naomi, apellido=Marcillo, edad=23, carrera=Administracion]
2022-07-11 22:44:07 INFO  ProyectoU2LoApplication:209 - TypedNamed: Estudiante [id=2, nombre=Naomi, apellido=Marcillo, edad=23, carrera=Administracion]
2022-07-11 22:44:07 INFO  ProyectoU2LoApplication:212 - Estudiante: Estudiante [id=1, nombre=Karen, apellido=Zaldumbide, edad=23, carrera=Medicina]
2022-07-11 22:44:07 INFO  ProyectoU2LoApplication:212 - Estudiante: Estudiante [id=3, nombre=Ariel, apellido=Zaldumbide, edad=23, carrera=Medicina]
2022-07-11 22:44:07 INFO  ProyectoU2LoApplication:212 - Estudiante: Estudiante [id=7, nombre=Leonel, apellido=Ramos, edad=23, carrera=Medicina]
2022-07-11 23:04:15 INFO  ProyectoU2LoApplication:207 - Typed: Estudiante [id=2, nombre=Naomi, apellido=Marcillo, edad=23, carrera=Administracion]
2022-07-11 23:04:15 INFO  ProyectoU2LoApplication:208 - Typed: Estudiante [id=6, nombre=Dario, apellido=Marquez, edad=24, carrera=Medicina]
2022-07-11 23:04:15 INFO  ProyectoU2LoApplication:209 - Named: Estudiante [id=2, nombre=Naomi, apellido=Marcillo, edad=23, carrera=Administracion]
2022-07-11 23:04:15 INFO  ProyectoU2LoApplication:210 - Named: Estudiante [id=6, nombre=Dario, apellido=Marquez, edad=24, carrera=Medicina]
2022-07-11 23:04:15 INFO  ProyectoU2LoApplication:211 - TypedNamed: Estudiante [id=2, nombre=Naomi, apellido=Marcillo, edad=23, carrera=Administracion]
2022-07-11 23:04:15 INFO  ProyectoU2LoApplication:214 - Estudiante: Estudiante [id=1, nombre=Karen, apellido=Zaldumbide, edad=23, carrera=Medicina]
2022-07-11 23:04:15 INFO  ProyectoU2LoApplication:214 - Estudiante: Estudiante [id=3, nombre=Ariel, apellido=Zaldumbide, edad=23, carrera=Medicina]
2022-07-11 23:04:15 INFO  ProyectoU2LoApplication:214 - Estudiante: Estudiante [id=7, nombre=Leonel, apellido=Ramos, edad=23, carrera=Medicina]
